Rank,Game #,Game,Hitter Team,Opp SP,Pitch,Hitter,PA,AVG,SLG,ISO,wOBA,xwOBA,Barrel%,HardHit%,Whiff%,Score
1,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,Giancarlo Stanton,3,1.0,1.333333333333333,0.3333333333333333,1.016666666666667,0.925,0.3333333333333333,0.5,0.1428571428571428,100.0
2,4,Texas Rangers @ Miami Marlins,Miami Marlins,Cal Quantrill,FS,Javier Sanoja,3,1.0,1.0,0.0,0.8333333333333334,0.402727,0.0,0.3333333333333333,0.0,99.8
3,11,Arizona Diamondbacks @ St. Louis Cardinals,St. Louis Cardinals,Eduardo Rodriguez,CU,Ramón Urías,4,0.6666666666666666,2.0,1.333333333333333,0.9875,1.0726015,0.6666666666666666,0.25,0.0,99.8
4,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Nick Kurtz,6,0.75,1.25,0.5,0.7999999999999999,0.5896513333333334,0.3333333333333333,0.75,0.2857142857142857,99.6
5,14,Atlanta Braves @ San Diego Padres,San Diego Padres,JR Ritchie,SL,Luis Campusano,6,0.6,1.4,0.7999999999999999,0.8083333333333335,0.6640908,0.0,0.3636363636363636,0.2941176470588235,99.5
6,7,Chicago Cubs @ New York Mets,Chicago Cubs,Kodai Senga,ST,Nico Hoerner,20,0.6111111111111112,0.8888888888888888,0.2777777777777777,0.7450000000000001,0.3790477894736842,0.0,0.1935483870967742,0.0,99.2
7,8,Milwaukee Brewers @ Cincinnati Reds,Milwaukee Brewers,Nick Lodolo,CU,Sal Frelick,14,0.5714285714285714,1.142857142857143,0.5714285714285714,0.7857142857142857,0.4675384615384615,0.1538461538461539,0.3529411764705883,0.1739130434782609,99.1
8,11,Arizona Diamondbacks @ St. Louis Cardinals,St. Louis Cardinals,Eduardo Rodriguez,FC,Nathan Church,14,0.5833333333333334,1.333333333333333,0.7499999999999999,0.7821428571428571,0.48222,0.08333333333333333,0.3333333333333333,0.1428571428571428,99.1
9,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Shea Langeliers,8,0.5714285714285714,1.285714285714286,0.7142857142857144,0.7625000000000001,0.6514317500000001,0.6,0.5,0.4545454545454545,99.0
10,1,Houston Astros @ Toronto Blue Jays,Toronto Blue Jays,Peter Lambert,FC,Jesús Sánchez,19,0.5555555555555556,1.166666666666667,0.6111111111111112,0.7210526315789474,0.506278375,0.2352941176470588,0.375,0.2857142857142857,98.5
11,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,José Caballero,6,0.5,1.166666666666667,0.6666666666666667,0.8416666666666668,0.6445,0.25,0.1818181818181818,0.2631578947368421,98.4
12,7,Chicago Cubs @ New York Mets,Chicago Cubs,Kodai Senga,FC,Carson Kelly,12,0.5555555555555556,1.0,0.4444444444444444,0.6708333333333334,0.607086,0.2222222222222222,0.2666666666666667,0.05555555555555555,98.3
13,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,FC,Nathaniel Lowe,13,0.5,1.25,0.75,0.7884615384615384,0.5174964615384616,0.4444444444444444,0.3333333333333333,0.16,98.2
14,13,Baltimore Orioles @ Los Angeles Angels,Baltimore Orioles,Ryan Johnson,FC,Adley Rutschman,16,0.5,1.285714285714286,0.7857142857142858,0.73125,0.5987272000000001,0.3333333333333333,0.4545454545454545,0.1666666666666667,97.9
15,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,CH,Henry Bolte,10,0.5555555555555556,0.8888888888888888,0.3333333333333333,0.6300000000000001,0.4900504444444444,0.1428571428571428,0.4545454545454545,0.3888888888888889,97.9
16,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,SI,Dane Myers,29,0.5217391304347826,0.7391304347826086,0.2173913043478261,0.6413793103448274,0.5616551666666667,0.1111111111111111,0.2727272727272727,0.02564102564102564,97.9
17,10,Cleveland Guardians @ Chicago White Sox,Cleveland Guardians,Sean Burke,KC,Kyle Manzardo,6,0.5,1.166666666666667,0.6666666666666667,0.6916666666666668,0.1516666666666667,0.0,0.4285714285714285,0.25,97.7
18,9,Los Angeles Dodgers @ Minnesota Twins,Los Angeles Dodgers,Kendry Rojas,SI,Shohei Ohtani,48,0.5128205128205128,0.9487179487179487,0.4358974358974359,0.6208333333333331,0.5755561739130435,0.1944444444444444,0.4313725490196079,0.1666666666666667,97.6
19,11,Arizona Diamondbacks @ St. Louis Cardinals,St. Louis Cardinals,Eduardo Rodriguez,CU,Thomas Saggese,8,0.5,1.125,0.625,0.675,0.3228571428571428,0.3333333333333333,0.5,0.2666666666666667,97.6
20,12,Boston Red Sox @ Colorado Rockies,Colorado Rockies,Sonny Gray,FC,Willi Castro,15,0.5714285714285714,0.7857142857142857,0.2142857142857143,0.5966666666666666,0.4528181428571428,0.1818181818181818,0.25,0.1333333333333333,97.5
