Rank,Game #,Game,Hitter Team,Opp SP,Pitch,Hitter,PA,AVG,SLG,ISO,wOBA,xwOBA,Barrel%,HardHit%,Whiff%,Score
1,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,Aaron Judge,8,0.375,1.125,0.75,0.6125,0.627875,0.75,0.6666666666666666,0.65,99.6
2,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Shea Langeliers,8,0.5714285714285714,1.285714285714286,0.7142857142857144,0.7625000000000001,0.6514317500000001,0.6,0.5,0.4545454545454545,98.7
3,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,CU,Jj Bleday,13,0.4545454545454545,1.363636363636364,0.909090909090909,0.7346153846153847,0.6040756666666668,0.3,0.7857142857142857,0.375,98.5
4,13,Baltimore Orioles @ Los Angeles Angels,Baltimore Orioles,Ryan Johnson,FC,Adley Rutschman,16,0.5,1.285714285714286,0.7857142857142858,0.73125,0.5987272000000001,0.3333333333333333,0.4545454545454545,0.1666666666666667,97.6
5,11,Arizona Diamondbacks @ St. Louis Cardinals,St. Louis Cardinals,Eduardo Rodriguez,CU,Thomas Saggese,8,0.5,1.125,0.625,0.675,0.3228571428571428,0.3333333333333333,0.5,0.2666666666666667,97.6
6,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,FC,Eugenio Suárez,14,0.4285714285714285,1.285714285714286,0.8571428571428572,0.7000000000000001,0.3746428571428572,0.3,0.4615384615384616,0.2380952380952381,97.3
7,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Nick Kurtz,6,0.75,1.25,0.5,0.7999999999999999,0.5896513333333334,0.3333333333333333,0.75,0.2857142857142857,97.2
8,2,Seattle Mariners @ Pittsburgh Pirates,Seattle Mariners,Mitch Keller,CU,J. P. Crawford,9,0.375,1.125,0.75,0.6222222222222222,0.4298282222222223,0.4,0.4166666666666667,0.2352941176470588,96.7
9,12,Boston Red Sox @ Colorado Rockies,Colorado Rockies,Sonny Gray,CU,Mickey Moniak,12,0.1818181818181818,0.7272727272727273,0.5454545454545454,0.3916666666666667,0.4675867272727273,0.6666666666666666,0.4166666666666667,0.4516129032258064,96.1
10,13,Baltimore Orioles @ Los Angeles Angels,Los Angeles Angels,Shane Baz,KC,Jo Adell,7,0.2857142857142857,0.7142857142857143,0.4285714285714286,0.4142857142857143,0.6232,0.3333333333333333,0.6,0.4,95.8
11,12,Boston Red Sox @ Colorado Rockies,Boston Red Sox,Sean Sullivan,ST,Marcelo Mayer,7,0.1666666666666667,0.6666666666666666,0.5,0.3857142857142857,0.2814934285714286,0.3333333333333333,0.4444444444444444,0.3888888888888889,95.7
12,6,Philadelphia Phillies @ Washington Nationals,Washington Nationals,Jesús Luzardo,ST,Luis García,9,0.5,1.0,0.5,0.5611111111111112,0.628625,0.25,0.5294117647058824,0.05555555555555555,95.4
13,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FF,Ben Rice,77,0.375,1.046875,0.671875,0.6155844155844157,0.5722646176470587,0.3265306122448979,0.40625,0.1587301587301587,95.2
14,3,Kansas City Royals @ Tampa Bay Rays,Tampa Bay Rays,Luinder Avila,CU,Jonathan Aranda,15,0.3846153846153846,0.8461538461538461,0.4615384615384615,0.4933333333333333,0.5169636,0.3333333333333333,0.45,0.2333333333333333,95.2
15,7,Chicago Cubs @ New York Mets,Chicago Cubs,Kodai Senga,FC,Ian Happ,20,0.3888888888888889,1.055555555555556,0.6666666666666667,0.5700000000000001,0.4893923157894737,0.3076923076923077,0.40625,0.2352941176470588,95.0
16,2,Seattle Mariners @ Pittsburgh Pirates,Seattle Mariners,Mitch Keller,CU,Dominic Canzone,18,0.3125,0.75,0.4375,0.4694444444444445,0.40058,0.2727272727272727,0.5,0.28,94.7
17,1,Houston Astros @ Toronto Blue Jays,Toronto Blue Jays,Peter Lambert,CH,Davis Schneider,14,0.3076923076923077,0.8461538461538461,0.5384615384615384,0.4892857142857143,0.4370349230769231,0.25,0.4166666666666667,0.2222222222222222,93.9
18,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,Cody Bellinger,17,0.2,0.6,0.4,0.3294117647058824,0.4343208235294118,0.3333333333333333,0.4444444444444444,0.12,93.9
19,6,Philadelphia Phillies @ Washington Nationals,Philadelphia Phillies,PJ Poulin,CH,Kyle Schwarber,37,0.2285714285714286,0.6571428571428571,0.4285714285714286,0.3810810810810811,0.3719961111111111,0.3333333333333333,0.4285714285714285,0.3970588235294117,93.9
20,4,Texas Rangers @ Miami Marlins,Miami Marlins,Cal Quantrill,FS,Owen Caissie,13,0.3076923076923077,0.7692307692307693,0.4615384615384616,0.4461538461538462,0.3555,0.2857142857142857,0.4166666666666667,0.4782608695652174,93.5
