Rank,Game #,Game,Hitter Team,Opp SP,Pitch,Hitter,PA,AVG,SLG,ISO,wOBA,xwOBA,Barrel%,HardHit%,Whiff%,Score
1,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,Giancarlo Stanton,3,1.0,1.333333333333333,0.3333333333333333,1.016666666666667,0.925,0.3333333333333333,0.5,0.1428571428571428,99.3
2,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,CU,Jj Bleday,13,0.4545454545454545,1.363636363636364,0.909090909090909,0.7346153846153847,0.6040756666666668,0.3,0.7857142857142857,0.375,99.2
3,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Nick Kurtz,6,0.75,1.25,0.5,0.7999999999999999,0.5896513333333334,0.3333333333333333,0.75,0.2857142857142857,99.2
4,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Shea Langeliers,8,0.5714285714285714,1.285714285714286,0.7142857142857144,0.7625000000000001,0.6514317500000001,0.6,0.5,0.4545454545454545,98.8
5,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,Aaron Judge,8,0.375,1.125,0.75,0.6125,0.627875,0.75,0.6666666666666666,0.65,98.5
6,13,Baltimore Orioles @ Los Angeles Angels,Baltimore Orioles,Ryan Johnson,FC,Adley Rutschman,16,0.5,1.285714285714286,0.7857142857142858,0.73125,0.5987272000000001,0.3333333333333333,0.4545454545454545,0.1666666666666667,97.8
7,10,Cleveland Guardians @ Chicago White Sox,Cleveland Guardians,Sean Burke,KC,Travis Bazzana,4,0.5,1.0,0.5,0.6625,0.524465,0.0,0.5,0.0,97.5
8,6,Philadelphia Phillies @ Washington Nationals,Washington Nationals,Jesús Luzardo,ST,Luis García,9,0.5,1.0,0.5,0.5611111111111112,0.628625,0.25,0.5294117647058824,0.05555555555555555,97.4
9,9,Los Angeles Dodgers @ Minnesota Twins,Los Angeles Dodgers,Kendry Rojas,SI,Shohei Ohtani,48,0.5128205128205128,0.9487179487179487,0.4358974358974359,0.6208333333333331,0.5755561739130435,0.1944444444444444,0.4313725490196079,0.1666666666666667,96.5
10,3,Kansas City Royals @ Tampa Bay Rays,Tampa Bay Rays,Luinder Avila,SL,Ryan Vilade,11,0.2,0.8,0.6000000000000001,0.6090909090909091,0.8663333333333334,0.2,0.4117647058823529,0.3571428571428572,95.9
11,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,CH,Henry Bolte,10,0.5555555555555556,0.8888888888888888,0.3333333333333333,0.6300000000000001,0.4900504444444444,0.1428571428571428,0.4545454545454545,0.3888888888888889,95.9
12,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FF,Ben Rice,77,0.375,1.046875,0.671875,0.6155844155844157,0.5722646176470587,0.3265306122448979,0.40625,0.1587301587301587,95.2
13,8,Milwaukee Brewers @ Cincinnati Reds,Milwaukee Brewers,Nick Lodolo,CH,Andrew Vaughn,15,0.4615384615384616,0.6153846153846154,0.1538461538461539,0.5000000000000001,0.5151467692307693,0.0,0.5625,0.1818181818181818,94.8
14,1,Houston Astros @ Toronto Blue Jays,Toronto Blue Jays,Peter Lambert,FC,Yohendrick Pinango,10,0.4444444444444444,1.0,0.5555555555555556,0.6100000000000001,0.5194454000000001,0.1428571428571428,0.4,0.25,94.4
15,14,Atlanta Braves @ San Diego Padres,San Diego Padres,JR Ritchie,SL,Luis Campusano,6,0.6,1.4,0.7999999999999999,0.8083333333333335,0.6640908,0.0,0.3636363636363636,0.2941176470588235,94.2
16,15,Athletics @ San Francisco Giants,San Francisco Giants,Aaron Civale,FC,Daniel Susac,6,0.5,1.0,0.5,0.6333333333333333,0.4678000000000001,0.1666666666666667,0.4166666666666667,0.2941176470588235,93.9
17,14,Atlanta Braves @ San Diego Padres,San Diego Padres,JR Ritchie,FC,Manny Machado,16,0.4285714285714285,1.0,0.5714285714285714,0.5625000000000001,0.4982158749999999,0.2,0.4137931034482759,0.1578947368421053,93.8
18,3,Kansas City Royals @ Tampa Bay Rays,Tampa Bay Rays,Luinder Avila,CU,Jonathan Aranda,15,0.3846153846153846,0.8461538461538461,0.4615384615384615,0.4933333333333333,0.5169636,0.3333333333333333,0.45,0.2333333333333333,93.6
19,4,Texas Rangers @ Miami Marlins,Miami Marlins,Cal Quantrill,SI,Otto Lopez,69,0.423728813559322,0.6610169491525424,0.2372881355932204,0.526086956521739,0.473271106060606,0.1111111111111111,0.4597701149425287,0.05102040816326531,93.6
20,1,Houston Astros @ Toronto Blue Jays,Toronto Blue Jays,Peter Lambert,FC,Jesús Sánchez,19,0.5555555555555556,1.166666666666667,0.6111111111111112,0.7210526315789474,0.506278375,0.2352941176470588,0.375,0.2857142857142857,93.3
