Rank,Game #,Game,Hitter Team,Opp SP,Pitch,Hitter,PA,AVG,SLG,ISO,wOBA,xwOBA,Barrel%,HardHit%,Whiff%,Score
1,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Shea Langeliers,8,0.5714285714285714,1.285714285714286,0.7142857142857144,0.7625000000000001,0.6514317500000001,0.6,0.5,0.4545454545454545,98.4
2,11,Arizona Diamondbacks @ St. Louis Cardinals,Arizona Diamondbacks,Kyle Leahy,CU,Jose Fernandez,4,0.5,0.5,0.0,0.45,0.19675,0.0,0.2,0.4545454545454545,97.4
3,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,CH,Henry Bolte,10,0.5555555555555556,0.8888888888888888,0.3333333333333333,0.6300000000000001,0.4900504444444444,0.1428571428571428,0.4545454545454545,0.3888888888888889,95.7
4,9,Los Angeles Dodgers @ Minnesota Twins,Minnesota Twins,Justin Wrobleski,SL,Víctor Caratini,23,0.4210526315789473,0.4736842105263158,0.05263157894736842,0.4195652173913044,0.3553096363636364,0.07142857142857142,0.2631578947368421,0.4523809523809524,94.4
5,13,Baltimore Orioles @ Los Angeles Angels,Los Angeles Angels,Shane Baz,KC,Yoán Moncada,6,0.4,0.6,0.2,0.475,0.4856135,0.0,0.5,0.5555555555555556,94.1
6,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,CU,Jj Bleday,13,0.4545454545454545,1.363636363636364,0.909090909090909,0.7346153846153847,0.6040756666666668,0.3,0.7857142857142857,0.375,92.9
7,11,Arizona Diamondbacks @ St. Louis Cardinals,Arizona Diamondbacks,Kyle Leahy,SL,Ryan Waldschmidt,19,0.4705882352941176,0.8235294117647058,0.3529411764705882,0.5631578947368421,0.2962605333333334,0.08333333333333333,0.4117647058823529,0.3548387096774194,92.4
8,2,Seattle Mariners @ Pittsburgh Pirates,Seattle Mariners,Mitch Keller,SL,Dominic Canzone,21,0.3888888888888889,0.7777777777777778,0.3888888888888889,0.5214285714285714,0.390176947368421,0.2,0.2272727272727273,0.4418604651162791,91.8
9,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,Aaron Judge,8,0.375,1.125,0.75,0.6125,0.627875,0.75,0.6666666666666666,0.65,91.4
10,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,SL,Giancarlo Stanton,14,0.3846153846153846,1.0,0.6153846153846154,0.5785714285714285,0.5311038571428571,0.4285714285714285,0.3076923076923077,0.4333333333333333,91.0
11,2,Seattle Mariners @ Pittsburgh Pirates,Pittsburgh Pirates,George Kirby,ST,Bryan Reynolds,29,0.391304347826087,0.6521739130434783,0.2608695652173913,0.4982758620689656,0.3725207142857143,0.1538461538461539,0.4285714285714285,0.3947368421052632,90.3
12,2,Seattle Mariners @ Pittsburgh Pirates,Pittsburgh Pirates,George Kirby,KC,Brandon Lowe,10,0.4,0.5,0.09999999999999998,0.395,0.2795,0.0,0.1818181818181818,0.3809523809523809,90.1
13,10,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Parker Messick,CH,Everson Pereira,17,0.375,0.6875,0.3125,0.4647058823529411,0.2310769230769231,0.1,0.3333333333333333,0.4375,89.8
14,14,Atlanta Braves @ San Diego Padres,San Diego Padres,JR Ritchie,SL,Luis Campusano,6,0.6,1.4,0.7999999999999999,0.8083333333333335,0.6640908,0.0,0.3636363636363636,0.2941176470588235,88.6
15,3,Kansas City Royals @ Tampa Bay Rays,Tampa Bay Rays,Luinder Avila,CH,Richie Palacios,19,0.3684210526315789,0.3684210526315789,0.0,0.3315789473684211,0.3887894736842106,0.0,0.1904761904761905,0.4047619047619048,88.0
16,8,Milwaukee Brewers @ Cincinnati Reds,Milwaukee Brewers,Nick Lodolo,CH,Jake Bauers,27,0.36,0.72,0.36,0.4722222222222222,0.3417588695652174,0.2222222222222222,0.48,0.4509803921568628,87.9
17,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Nick Kurtz,6,0.75,1.25,0.5,0.7999999999999999,0.5896513333333334,0.3333333333333333,0.75,0.2857142857142857,87.8
18,10,Cleveland Guardians @ Chicago White Sox,Chicago White Sox,Parker Messick,CH,Munetaka Murakami,28,0.36,0.72,0.36,0.4821428571428572,0.3815349230769231,0.25,0.4482758620689655,0.4375,87.6
19,15,Athletics @ San Francisco Giants,San Francisco Giants,Aaron Civale,FC,Daniel Susac,6,0.5,1.0,0.5,0.6333333333333333,0.4678000000000001,0.1666666666666667,0.4166666666666667,0.2941176470588235,87.5
20,1,Houston Astros @ Toronto Blue Jays,Toronto Blue Jays,Peter Lambert,FC,Jesús Sánchez,19,0.5555555555555556,1.166666666666667,0.6111111111111112,0.7210526315789474,0.506278375,0.2352941176470588,0.375,0.2857142857142857,87.2
