Rank,Game #,Game,Hitter Team,Opp SP,Pitch,Hitter,PA,AVG,SLG,ISO,wOBA,xwOBA,Barrel%,HardHit%,Whiff%,Score
1,11,Arizona Diamondbacks @ St. Louis Cardinals,St. Louis Cardinals,Eduardo Rodriguez,CU,Ramón Urías,4,0.6666666666666666,2.0,1.333333333333333,0.9875,1.0726015,0.6666666666666666,0.25,0.0,100.0
2,6,Philadelphia Phillies @ Washington Nationals,Philadelphia Phillies,PJ Poulin,SI,Otto Kemp,6,0.3333333333333333,1.333333333333333,1.0,0.6666666666666666,0.1015,0.4,0.2142857142857143,0.05882352941176471,99.7
3,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,CU,Jj Bleday,13,0.4545454545454545,1.363636363636364,0.909090909090909,0.7346153846153847,0.6040756666666668,0.3,0.7857142857142857,0.375,99.7
4,2,Seattle Mariners @ Pittsburgh Pirates,Seattle Mariners,Mitch Keller,ST,Rob Refsnyder,7,0.3333333333333333,1.333333333333333,1.0,0.5857142857142856,0.5961877142857143,0.3333333333333333,0.25,0.2,99.7
5,14,Atlanta Braves @ San Diego Padres,San Diego Padres,JR Ritchie,SL,Luis Campusano,6,0.6,1.4,0.7999999999999999,0.8083333333333335,0.6640908,0.0,0.3636363636363636,0.2941176470588235,99.6
6,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,FC,Eugenio Suárez,14,0.4285714285714285,1.285714285714286,0.8571428571428572,0.7000000000000001,0.3746428571428572,0.3,0.4615384615384616,0.2380952380952381,99.2
7,1,Houston Astros @ Toronto Blue Jays,Toronto Blue Jays,Peter Lambert,SL,Brandon Valenzuela,13,0.3076923076923077,1.230769230769231,0.9230769230769231,0.6153846153846154,0.4642307692307692,0.5714285714285714,0.3333333333333333,0.3939393939393939,99.1
8,13,Baltimore Orioles @ Los Angeles Angels,Baltimore Orioles,Ryan Johnson,FC,Adley Rutschman,16,0.5,1.285714285714286,0.7857142857142858,0.73125,0.5987272000000001,0.3333333333333333,0.4545454545454545,0.1666666666666667,99.1
9,11,Arizona Diamondbacks @ St. Louis Cardinals,St. Louis Cardinals,Eduardo Rodriguez,FC,Nathan Church,14,0.5833333333333334,1.333333333333333,0.7499999999999999,0.7821428571428571,0.48222,0.08333333333333333,0.3333333333333333,0.1428571428571428,99.0
10,8,Milwaukee Brewers @ Cincinnati Reds,Cincinnati Reds,Brandon Sproat,FC,Nathaniel Lowe,13,0.5,1.25,0.75,0.7884615384615384,0.5174964615384616,0.4444444444444444,0.3333333333333333,0.16,98.8
11,15,Athletics @ San Francisco Giants,Athletics,Robbie Ray,KC,Shea Langeliers,8,0.5714285714285714,1.285714285714286,0.7142857142857144,0.7625000000000001,0.6514317500000001,0.6,0.5,0.4545454545454545,98.8
12,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,Aaron Judge,8,0.375,1.125,0.75,0.6125,0.627875,0.75,0.6666666666666666,0.65,98.4
13,2,Seattle Mariners @ Pittsburgh Pirates,Seattle Mariners,Mitch Keller,CU,J. P. Crawford,9,0.375,1.125,0.75,0.6222222222222222,0.4298282222222223,0.4,0.4166666666666667,0.2352941176470588,98.4
14,5,New York Yankees @ Detroit Tigers,Detroit Tigers,Carlos Rodón,SL,Dillon Dingler,28,0.4615384615384616,1.153846153846154,0.6923076923076922,0.6696428571428571,0.4509090434782609,0.1363636363636364,0.3421052631578947,0.2241379310344828,98.3
15,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FS,José Caballero,6,0.5,1.166666666666667,0.6666666666666667,0.8416666666666668,0.6445,0.25,0.1818181818181818,0.2631578947368421,98.2
16,10,Cleveland Guardians @ Chicago White Sox,Cleveland Guardians,Sean Burke,KC,Kyle Manzardo,6,0.5,1.166666666666667,0.6666666666666667,0.6916666666666668,0.1516666666666667,0.0,0.4285714285714285,0.25,98.2
17,5,New York Yankees @ Detroit Tigers,New York Yankees,Casey Mize,FF,Ben Rice,77,0.375,1.046875,0.671875,0.6155844155844157,0.5722646176470587,0.3265306122448979,0.40625,0.1587301587301587,97.9
18,1,Houston Astros @ Toronto Blue Jays,Toronto Blue Jays,Peter Lambert,FC,Jesús Sánchez,19,0.5555555555555556,1.166666666666667,0.6111111111111112,0.7210526315789474,0.506278375,0.2352941176470588,0.375,0.2857142857142857,97.9
19,14,Atlanta Braves @ San Diego Padres,San Diego Padres,JR Ritchie,CU,Freddy Fermin,6,0.25,1.0,0.75,0.45,0.1824,0.0,0.375,0.3333333333333333,97.8
20,7,Chicago Cubs @ New York Mets,Chicago Cubs,Kodai Senga,FC,Ian Happ,20,0.3888888888888889,1.055555555555556,0.6666666666666667,0.5700000000000001,0.4893923157894737,0.3076923076923077,0.40625,0.2352941176470588,97.8
